iter	Passed	Remaining
169	428	2093
170	430	2086
171	431	2079
172	433	2072
173	435	2066
174	436	2059
175	438	2053
176	440	2047
177	441	2041
178	443	2034
179	445	2028
180	446	2022
181	448	2017
182	450	2010
183	452	2008
184	454	2001
185	456	1996
186	457	1990
187	459	1984
188	461	1979
189	462	1972
190	463	1965
191	465	1960
192	467	1956
193	469	1950
194	471	1944
195	472	1938
196	473	1932
197	475	1925
198	476	1919
199	478	1912
200	479	1907
201	481	1901
202	482	1895
203	484	1889
204	485	1882
205	486	1876
206	488	1869
207	489	1864
208	490	1857
209	492	1851
210	494	1847
211	495	1841
212	497	1836
213	498	1830
214	499	1824
215	500	1818
216	502	1813
217	503	1807
218	505	1801
219	506	1796
220	508	1791
221	509	1786
222	511	1781
223	512	1776
224	514	1770
225	515	1765
226	516	1759
227	518	1754
228	519	1749
229	521	1747
230	523	1743
231	525	1739
232	527	1735
233	528	1731
234	530	1726
235	531	1721
236	533	1717
237	534	1712
238	536	1709
239	538	1705
240	540	1701
241	541	1696
242	543	1692
243	544	1688
244	546	1683
245	547	1679
246	550	1677
247	552	1675
248	554	1672
249	556	1669
250	557	1664
251	559	1660
252	561	1657
253	563	1653
254	564	1650
255	566	1646
256	567	1641
257	569	1637
258	570	1632
259	572	1629
260	574	1626
261	576	1622
262	578	1619
263	579	1616
264	581	1613
265	583	1609
266	585	1606
267	586	1602
268	588	1598
269	590	1596
270	592	1593
271	594	1590
272	595	1586
273	597	1582
274	598	1578
275	600	1575
276	601	1571
277	603	1567
278	605	1564
279	607	1562
280	609	1560
281	611	1556
282	613	1553
283	614	1549
284	615	1545
285	617	1541
286	619	1538
287	621	1535
288	622	1531
289	624	1528
290	625	1524
291	627	1521
292	629	1518
293	631	1515
294	633	1513
295	635	1510
296	637	1508
297	639	1506
298	640	1502
299	642	1499
300	644	1496
301	646	1494
302	648	1491
303	649	1487
304	651	1484
305	652	1480
306	654	1477
307	655	1473
308	657	1470
309	659	1467
310	661	1465
311	663	1462
312	664	1459
313	666	1455
314	667	1452
315	669	1449
316	671	1445
317	672	1442
318	674	1439
319	676	1437
320	677	1434
321	679	1431
322	681	1427
323	682	1424
324	684	1421
325	686	1418
326	687	1414
327	689	1412
328	690	1409
329	692	1405
330	693	1402
331	695	1399
332	697	1396
333	699	1394
334	700	1390
335	702	1388
336	703	1384
337	705	1381
338	706	1378
339	708	1374
340	709	1370
341	710	1367
342	711	1363
343	713	1360
344	714	1357
345	716	1354
346	718	1351
347	719	1348
348	721	1345
349	722	1341
350	723	1338
351	725	1335
352	727	1332
353	728	1329
354	729	1325
355	731	1323
356	733	1320
357	734	1317
358	735	1313
359	737	1310
360	738	1307
361	739	1304
362	741	1300
363	742	1297
364	743	1294
365	745	1291
366	747	1289
367	749	1286
368	751	1284
369	752	1281
370	754	1279
371	756	1276
372	758	1274
373	760	1272
374	761	1269
375	763	1266
376	765	1264
377	766	1261
378	768	1259
379	770	1257
380	772	1254
381	774	1252
382	775	1249
383	777	1247
384	779	1244
385	781	1242
386	783	1240
387	785	1238
388	787	1236
389	789	1234
390	791	1232
391	792	1229
392	794	1226
393	796	1224
394	798	1222
395	799	1219
396	801	1217
397	803	1215
398	805	1212
399	807	1210
400	808	1208
401	810	1206
402	812	1204
403	814	1201
404	816	1198
405	817	1196
406	819	1194
407	821	1191
408	823	1189
409	824	1187
410	826	1184
411	827	1181
412	829	1179
413	830	1176
414	832	1173
415	833	1170
416	835	1168
417	837	1165
418	838	1163
419	840	1161
420	842	1159
421	844	1156
422	846	1155
423	848	1153
424	850	1150
425	852	1148
426	853	1145
427	855	1143
428	857	1140
429	858	1138
430	860	1135
431	861	1133
432	863	1130
433	864	1127
434	866	1125
435	868	1122
436	869	1120
437	871	1118
438	874	1117
439	876	1115
440	877	1112
441	879	1110
442	881	1108
443	883	1106
444	885	1103
445	886	1101
446	888	1099
447	889	1096
448	891	1093
449	892	1091
450	894	1088
451	895	1085
452	897	1083
453	898	1081
454	900	1078
455	902	1076
456	904	1074
457	905	1071
458	907	1069
459	908	1066
460	910	1064
461	912	1062
462	913	1059
463	915	1057
464	916	1054
465	918	1052
466	919	1049
467	920	1046
468	922	1044
469	923	1041
470	924	1038
471	926	1036
472	927	1033
473	929	1031
474	930	1028
475	932	1026
476	933	1023
477	935	1021
478	936	1019
479	938	1016
480	939	1014
481	941	1011
482	942	1009
483	943	1006
484	945	1003
485	946	1001
486	948	998
487	949	995
488	950	993
489	951	990
490	953	988
491	954	985
492	956	983
493	957	980
494	959	978
495	960	975
496	961	973
497	963	971
498	964	968
499	966	966
500	967	964
501	969	961
502	970	959
503	972	956
504	973	954
505	974	951
506	976	949
507	977	946
508	978	944
509	980	941
510	981	939
511	983	936
512	984	934
513	985	932
514	987	929
515	988	927
516	990	924
517	991	922
518	992	920
519	994	917
520	995	915
521	997	913
522	998	910
523	1000	908
524	1001	906
525	1003	904
526	1005	902
527	1006	900
528	1008	897
529	1009	895
530	1011	893
531	1012	890
532	1014	888
533	1015	886
534	1017	884
535	1018	882
536	1020	879
537	1021	877
538	1023	875
539	1025	873
540	1027	871
541	1028	869
542	1030	867
543	1031	864
544	1033	862
545	1034	860
546	1036	858
547	1037	856
548	1039	853
549	1040	851
550	1042	849
551	1043	847
552	1045	845
553	1047	843
554	1048	840
555	1050	838
556	1052	837
557	1054	835
558	1056	833
559	1057	831
560	1059	828
561	1060	826
562	1062	824
563	1064	822
564	1065	820
565	1067	818
566	1069	816
567	1070	814
568	1072	812
569	1074	810
570	1076	808
571	1077	806
572	1079	804
573	1081	802
574	1083	800
575	1085	799
576	1087	797
577	1089	795
578	1091	793
579	1093	792
580	1095	790
581	1097	788
582	1099	786
583	1101	784
584	1103	782
585	1104	780
586	1106	778
587	1108	776
588	1110	774
589	1112	772
590	1113	770
591	1115	768
592	1117	767
593	1119	765
594	1121	763
595	1123	761
596	1125	759
597	1127	757
598	1129	756
599	1131	754
600	1133	752
601	1135	750
602	1137	749
603	1140	747
604	1142	746
605	1145	744
606	1147	742
607	1149	741
608	1151	739
609	1153	737
610	1156	735
611	1157	734
612	1159	732
613	1162	730
614	1164	728
615	1166	727
616	1168	725
617	1170	723
618	1172	721
619	1174	719
620	1176	718
621	1179	716
622	1181	714
623	1183	713
624	1185	711
625	1187	709
626	1189	707
627	1191	705
628	1192	703
629	1194	701
630	1196	699
631	1198	698
632	1200	695
633	1202	693
634	1203	691
635	1205	689
636	1207	688
637	1208	685
638	1210	683
639	1212	681
640	1213	679
641	1215	677
642	1216	675
643	1218	673
644	1219	671
645	1220	668
646	1222	666
647	1223	664
648	1225	662
649	1226	660
650	1227	658
651	1229	656
652	1230	654
653	1232	651
654	1234	650
655	1235	647
656	1237	645
657	1238	643
658	1239	641
659	1241	639
660	1242	637
661	1243	635
662	1245	632
663	1246	630
664	1248	628
665	1249	626
666	1250	624
667	1251	622
668	1253	620
669	1254	617
670	1255	615
671	1257	613
672	1258	611
673	1260	609
674	1262	607
675	1264	605
676	1265	603
677	1267	601
678	1268	599
679	1270	597
680	1272	595
681	1273	593
682	1274	591
683	1276	589
684	1277	587
685	1279	585
686	1280	583
687	1281	581
688	1283	579
689	1284	577
690	1286	575
691	1288	573
692	1290	571
693	1291	569
694	1294	567
695	1296	566
696	1297	564
697	1298	562
698	1300	559
699	1302	558
700	1303	556
701	1305	554
702	1306	552
703	1308	550
704	1309	547
705	1310	545
706	1312	543
707	1313	541
708	1315	539
709	1317	537
710	1318	535
711	1320	533
712	1321	532
713	1323	530
714	1325	528
715	1327	526
716	1328	524
717	1330	522
718	1332	520
719	1334	518
720	1335	516
721	1336	514
722	1338	512
723	1340	510
724	1341	508
725	1343	507
726	1345	505
727	1347	503
728	1349	501
729	1351	499
730	1353	498
731	1355	496
732	1357	494
733	1358	492
734	1360	490
735	1362	488
736	1364	486
737	1366	485
738	1368	483
739	1370	481
740	1372	479
741	1374	477
742	1376	476
743	1378	474
744	1380	472
745	1382	470
746	1384	468
747	1386	467
748	1388	465
749	1390	463
750	1392	461
751	1393	459
752	1395	457
753	1397	455
754	1399	454
755	1401	452
756	1403	450
757	1405	448
758	1406	446
759	1408	444
760	1410	442
761	1411	440
762	1413	439
763	1415	437
764	1417	435
765	1419	433
766	1421	431
767	1423	429
768	1425	428
769	1427	426
770	1429	424
771	1430	422
772	1432	420
773	1434	418
774	1436	417
775	1438	415
776	1440	413
777	1442	411
778	1444	409
779	1446	408
780	1448	406
781	1450	404
782	1452	402
783	1454	400
784	1456	398
785	1457	396
786	1459	395
787	1461	393
788	1463	391
789	1465	389
790	1467	387
791	1470	386
792	1472	384
793	1474	382
794	1476	380
795	1478	378
796	1480	377
797	1482	375
798	1484	373
799	1485	371
800	1487	369
801	1489	367
802	1491	365
803	1493	363
804	1494	362
805	1496	360
806	1498	358
807	1500	356
808	1502	354
809	1504	352
810	1506	351
811	1508	349
812	1510	347
813	1512	345
814	1513	343
815	1515	341
816	1516	339
817	1518	337
818	1520	336
819	1522	334
820	1523	332
821	1525	330
822	1527	328
823	1529	326
824	1531	324
825	1533	322
826	1534	321
827	1536	319
828	1538	317
829	1540	315
830	1541	313
831	1543	311
832	1544	309
833	1546	307
834	1547	305
835	1549	303
836	1550	302
837	1552	300
838	1554	298
839	1556	296
840	1558	294
841	1559	292
842	1561	290
843	1563	288
844	1564	287
845	1566	285
846	1568	283
847	1569	281
848	1571	279
849	1572	277
850	1574	275
851	1575	273
852	1577	271
853	1579	270
854	1581	268
855	1583	266
856	1586	264
857	1588	262
858	1589	260
859	1591	259
860	1592	257
861	1594	255
862	1595	253
863	1596	251
864	1598	249
865	1599	247
866	1601	245
867	1602	243
868	1604	241
869	1606	240
870	1607	238
871	1609	236
872	1611	234
873	1612	232
874	1614	230
875	1615	228
876	1617	226
877	1619	225
878	1621	223
879	1622	221
880	1624	219
881	1625	217
882	1626	215
883	1628	213
884	1629	211
885	1630	209
886	1632	207
887	1634	206
888	1635	204
889	1636	202
890	1638	200
891	1640	198
892	1641	196
893	1643	194
894	1645	192
895	1646	191
896	1649	189
897	1651	187
898	1652	185
899	1653	183
900	1655	181
901	1656	180
902	1658	178
903	1660	176
904	1661	174
905	1663	172
906	1665	170
907	1666	168
908	1668	167
909	1670	165
910	1672	163
911	1674	161
912	1677	159
913	1678	157
914	1680	156
915	1681	154
916	1683	152
917	1685	150
918	1687	148
919	1689	146
920	1690	145
921	1692	143
922	1693	141
923	1694	139
924	1696	137
925	1697	135
926	1699	133
927	1701	132
928	1703	130
929	1704	128
930	1706	126
931	1708	124
932	1709	122
933	1710	120
934	1712	119
935	1713	117
936	1715	115
937	1716	113
938	1717	111
939	1719	109
940	1720	107
941	1722	106
942	1723	104
943	1724	102
944	1726	100
945	1727	98
946	1729	96
947	1730	94
948	1731	93
949	1733	91
950	1734	89
951	1736	87
952	1737	85
953	1739	83
954	1740	82
955	1742	80
956	1743	78
957	1745	76
958	1746	74
959	1748	72
960	1750	71
961	1751	69
962	1752	67
963	1754	65
964	1756	63
965	1758	61
966	1759	60
967	1760	58
968	1762	56
969	1763	54
970	1765	52
971	1767	50
972	1768	49
973	1770	47
974	1771	45
975	1773	43
976	1774	41
977	1775	39
978	1777	38
979	1778	36
980	1779	34
981	1781	32
982	1782	30
983	1784	29
984	1786	27
985	1787	25
986	1789	23
987	1790	21
988	1792	19
989	1794	18
990	1796	16
991	1797	14
992	1799	12
993	1801	10
994	1802	9
995	1804	7
996	1805	5
997	1807	3
998	1809	1
999	1810	0
